GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1600000US3961000,3961000,"Parma city, Ohio",79423,25
1600000US3977000,3977000,"Toledo city, Ohio",278512,36
1600000US3988000,3988000,"Youngstown city, Ohio",64301,24
1600000US4009050,4009050,"Broken Arrow city, Oklahoma",109439,1943
1600000US4023200,4023200,"Edmond city, Oklahoma",91187,31
1600000US4041850,4041850,"Lawton city, Oklahoma",94652,24
1600000US4052500,4052500,"Norman city, Oklahoma",122186,37
1600000US4055000,4055000,"Oklahoma City city, Oklahoma",638311,73
1600000US4075000,4075000,"Tulsa city, Oklahoma",403622,1399
1600000US4105350,4105350,"Beaverton city, Oregon",97602,50
1600000US4105800,4105800,"Bend city, Oregon",91123,19
1600000US4123850,4123850,"Eugene city, Oregon",166581,39
1600000US4131250,4131250,"Gresham city, Oregon",111521,35
1600000US4134100,4134100,"Hillsboro city, Oregon",105171,38
1600000US4147000,4147000,"Medford city, Oregon",81621,50
1600000US4159000,4159000,"Portland city, Oregon",639635,1164
1600000US4164900,4164900,"Salem city, Oregon",167421,36
1600000US4202000,4202000,"Allentown city, Pennsylvania",120440,27
1600000US4206088,4206088,"Bethlehem city, Pennsylvania",76427,2687
1600000US4224000,4224000,"Erie city, Pennsylvania",98601,33
